epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.5976,3.71963,15.779,3.32164,0.22323,0.20093,0.10329,0.02916,3.18936,2.77411,2.66467,0.0701515,0.0033165,0.0033165
2,108.898,2.81938,2.83584,2.21508,0.53384,0.19977,0.2406,0.08495,2.53613,2.81208,1.99517,0.0400857,0.006584,0.006584
3,162.587,2.42148,2.55804,1.79354,0.32101,0.20536,0.15193,0.05483,2.58709,3.19941,2.05415,0.00995385,0.0097855,0.0097855
4,219.99,2.1834,2.20083,1.60719,0.56086,0.4518,0.45564,0.22256,1.91018,1.90372,1.48319,0.009703,0.009703,0.009703
5,277.675,2.0072,1.83766,1.46867,0.75874,0.50987,0.60145,0.29139,1.91825,1.67405,1.44561,0.009604,0.009604,0.009604
6,330.307,1.92608,1.61628,1.41872,0.82296,0.57769,0.67055,0.34508,1.73237,1.47394,1.35444,0.009505,0.009505,0.009505
7,381.194,1.80919,1.43903,1.35785,0.75332,0.5029,0.57654,0.29629,1.81475,1.61482,1.3777,0.009406,0.009406,0.009406
8,437.53,1.76092,1.35197,1.32077,0.85582,0.58769,0.65173,0.33764,1.75272,1.43574,1.35472,0.009307,0.009307,0.009307
9,487.566,1.71734,1.29901,1.3102,0.77225,0.64808,0.71511,0.36648,1.68771,1.21098,1.30225,0.009208,0.009208,0.009208
10,541.833,1.70245,1.24458,1.29201,0.82433,0.6144,0.68149,0.35977,1.74711,1.39735,1.32637,0.009109,0.009109,0.009109
11,594.381,1.63468,1.17056,1.27031,0.8078,0.63066,0.69877,0.35745,1.73879,1.29136,1.32567,0.00901,0.00901,0.00901
12,653.499,1.60897,1.14145,1.25731,0.87632,0.68757,0.7617,0.39901,1.62362,1.16444,1.27311,0.008911,0.008911,0.008911
13,713.611,1.59031,1.11222,1.23167,0.92227,0.69454,0.77826,0.40689,1.61135,1.07439,1.27455,0.008812,0.008812,0.008812
14,772.756,1.58967,1.09414,1.23867,0.83311,0.65514,0.72524,0.36291,1.6897,1.2703,1.30474,0.008713,0.008713,0.008713
15,833.424,1.54717,1.0652,1.22144,0.90282,0.73751,0.78726,0.43113,1.52455,1.04797,1.21984,0.008614,0.008614,0.008614
16,893.874,1.52983,1.05234,1.21163,0.90719,0.73984,0.79681,0.43418,1.56164,0.99916,1.22059,0.008515,0.008515,0.008515
17,946.595,1.50744,1.00173,1.21303,0.9184,0.70587,0.76984,0.41015,1.59985,1.05491,1.23164,0.008416,0.008416,0.008416
18,1004.31,1.51416,0.99748,1.19688,0.86033,0.64228,0.72436,0.40317,1.62386,1.16492,1.25773,0.008317,0.008317,0.008317
19,1062.54,1.48336,0.97385,1.18097,0.89907,0.58973,0.69028,0.36485,1.6451,1.27773,1.26715,0.008218,0.008218,0.008218
20,1122.88,1.47021,0.96356,1.19591,0.93183,0.77352,0.83116,0.48384,1.46435,0.93259,1.19542,0.008119,0.008119,0.008119
21,1182.91,1.46645,0.95222,1.15853,0.91294,0.76726,0.81756,0.46161,1.47926,0.914,1.18893,0.00802,0.00802,0.00802
22,1241.43,1.45199,0.94807,1.16102,0.93056,0.73149,0.8048,0.45163,1.48431,0.95768,1.1918,0.007921,0.007921,0.007921
23,1299.09,1.43921,0.93411,1.15818,0.91731,0.74725,0.80667,0.4602,1.49656,0.95778,1.2182,0.007822,0.007822,0.007822
24,1357.31,1.43167,0.89917,1.16226,0.9166,0.777,0.83846,0.48221,1.44312,0.92854,1.17968,0.007723,0.007723,0.007723
25,1415.06,1.41509,0.88979,1.15611,0.90373,0.74141,0.80667,0.44338,1.52968,0.96584,1.21142,0.007624,0.007624,0.007624
26,1471.19,1.40721,0.88547,1.1477,0.90613,0.73996,0.80764,0.45657,1.48433,0.94349,1.20052,0.007525,0.007525,0.007525
27,1526.4,1.39993,0.87113,1.15312,0.93175,0.77693,0.84054,0.48489,1.43035,0.87859,1.1556,0.007426,0.007426,0.007426
28,1578.72,1.39187,0.87264,1.15096,0.91271,0.75494,0.82024,0.4609,1.47302,0.89905,1.17453,0.007327,0.007327,0.007327
29,1627.85,1.37841,0.85454,1.13484,0.96648,0.77816,0.85122,0.48948,1.44015,0.83337,1.16876,0.007228,0.007228,0.007228
30,1677.31,1.3921,0.85252,1.14044,0.94619,0.79675,0.8614,0.49267,1.41873,0.83351,1.15963,0.007129,0.007129,0.007129
31,1728.59,1.37041,0.82704,1.12508,0.93309,0.7863,0.84542,0.47168,1.44151,0.88321,1.18271,0.00703,0.00703,0.00703
32,1777.95,1.37677,0.84859,1.13604,0.9377,0.77816,0.84144,0.49199,1.40264,0.84962,1.1524,0.006931,0.006931,0.006931
33,1830.7,1.34434,0.81512,1.11453,0.93241,0.78397,0.85002,0.50241,1.36915,0.83706,1.14391,0.006832,0.006832,0.006832
34,1886.34,1.35435,0.80448,1.11519,0.91415,0.79153,0.84261,0.49487,1.38299,0.85477,1.14521,0.006733,0.006733,0.006733
35,1937.46,1.35718,0.79704,1.12097,0.93765,0.81417,0.86238,0.5066,1.3691,0.80833,1.14146,0.006634,0.006634,0.006634
36,1992.44,1.33655,0.80124,1.10229,0.93079,0.78513,0.83816,0.485,1.43235,0.8558,1.17497,0.006535,0.006535,0.006535
37,2052.26,1.31794,0.79045,1.11031,0.94015,0.78449,0.84411,0.49732,1.39344,0.79997,1.16111,0.006436,0.006436,0.006436
38,2112.68,1.33747,0.7977,1.11468,0.94311,0.82695,0.8712,0.52072,1.34822,0.80215,1.13617,0.006337,0.006337,0.006337
39,2163.38,1.30442,0.76322,1.11128,0.94326,0.81533,0.87733,0.51699,1.36667,0.77714,1.14227,0.006238,0.006238,0.006238
40,2214.65,1.33336,0.78228,1.10474,0.93196,0.82114,0.86681,0.51782,1.34262,0.79232,1.13169,0.006139,0.006139,0.006139
41,2265.3,1.30902,0.78213,1.10749,0.9441,0.82387,0.87303,0.51433,1.36447,0.7637,1.1439,0.00604,0.00604,0.00604
42,2314.87,1.30799,0.75911,1.10069,0.93614,0.81727,0.87028,0.53606,1.30091,0.75913,1.10748,0.005941,0.005941,0.005941
43,2365.05,1.2883,0.74728,1.10872,0.95142,0.82346,0.87641,0.53025,1.31757,0.74805,1.12488,0.005842,0.005842,0.005842
44,2418.53,1.29046,0.75052,1.09292,0.95002,0.81687,0.87097,0.53048,1.3525,0.76253,1.12427,0.005743,0.005743,0.005743
45,2476.02,1.28231,0.73545,1.09071,0.93197,0.82927,0.87362,0.52339,1.34082,0.76719,1.12506,0.005644,0.005644,0.005644
46,2535.46,1.28136,0.73323,1.09357,0.92966,0.82462,0.87679,0.5224,1.35297,0.7344,1.12853,0.005545,0.005545,0.005545
47,2586.89,1.25855,0.73664,1.08509,0.93613,0.83414,0.87836,0.52948,1.33668,0.75529,1.11681,0.005446,0.005446,0.005446
48,2639.93,1.26272,0.71943,1.07295,0.95577,0.82825,0.87905,0.52363,1.34195,0.73898,1.11295,0.005347,0.005347,0.005347
49,2688.39,1.25966,0.72206,1.08218,0.94053,0.84488,0.88053,0.53248,1.30534,0.74326,1.11022,0.005248,0.005248,0.005248
50,2736.98,1.25662,0.70973,1.08436,0.94893,0.82006,0.87246,0.5086,1.4068,0.74072,1.1438,0.005149,0.005149,0.005149
51,2792.09,1.24778,0.71175,1.08226,0.9557,0.83275,0.88358,0.53307,1.33862,0.73334,1.10904,0.00505,0.00505,0.00505
52,2847.89,1.24587,0.70637,1.06671,0.96537,0.84177,0.89421,0.53501,1.31056,0.70763,1.10982,0.004951,0.004951,0.004951
53,2905.78,1.26954,0.73431,1.08491,0.95655,0.83043,0.88531,0.54043,1.31533,0.72908,1.10669,0.004852,0.004852,0.004852
54,2965.23,1.2249,0.69773,1.06425,0.93897,0.84088,0.88342,0.54848,1.29768,0.71174,1.10377,0.004753,0.004753,0.004753
55,3019.81,1.22973,0.69342,1.05574,0.95805,0.82235,0.8811,0.54398,1.29059,0.72901,1.11387,0.004654,0.004654,0.004654
56,3078.17,1.22809,0.68231,1.06365,0.93243,0.84204,0.88438,0.55222,1.28504,0.69868,1.09268,0.004555,0.004555,0.004555
57,3127.14,1.2233,0.67774,1.05863,0.95335,0.84785,0.89735,0.56034,1.27795,0.70348,1.08534,0.004456,0.004456,0.004456
58,3177.28,1.21533,0.6852,1.06436,0.96387,0.83508,0.88992,0.55381,1.25951,0.69293,1.08378,0.004357,0.004357,0.004357
59,3231.07,1.195,0.67048,1.0548,0.94926,0.84738,0.88676,0.54906,1.30563,0.7086,1.09314,0.004258,0.004258,0.004258
60,3289.04,1.19676,0.66169,1.05768,0.95498,0.84553,0.89304,0.55247,1.25851,0.69921,1.07982,0.004159,0.004159,0.004159
61,3339.9,1.21177,0.67017,1.06584,0.97192,0.84419,0.89458,0.55112,1.25096,0.66255,1.07876,0.00406,0.00406,0.00406
62,3388.12,1.19906,0.6649,1.04874,0.9514,0.8525,0.89438,0.55551,1.26108,0.69697,1.07683,0.003961,0.003961,0.003961
63,3436.42,1.17478,0.65198,1.02884,0.96195,0.84204,0.89565,0.55345,1.27646,0.67781,1.08348,0.003862,0.003862,0.003862
64,3484.76,1.16342,0.63871,1.04616,0.95338,0.855,0.89905,0.55985,1.25914,0.66768,1.07686,0.003763,0.003763,0.003763
65,3532.9,1.18049,0.65034,1.03609,0.95783,0.82811,0.88675,0.55305,1.26463,0.68152,1.08683,0.003664,0.003664,0.003664
66,3581.21,1.17429,0.63886,1.0422,0.96892,0.83291,0.89932,0.56491,1.25125,0.66857,1.08365,0.003565,0.003565,0.003565
67,3630.04,1.17483,0.64699,1.03525,0.97213,0.83508,0.89457,0.56369,1.24042,0.66915,1.07077,0.003466,0.003466,0.003466
68,3678.19,1.1627,0.63625,1.04048,0.97482,0.8543,0.90673,0.56499,1.25142,0.64532,1.07593,0.003367,0.003367,0.003367
69,3726.55,1.15939,0.62573,1.04011,0.96933,0.84433,0.89685,0.56999,1.22856,0.65143,1.06316,0.003268,0.003268,0.003268
70,3775.01,1.13975,0.62018,1.03513,0.97359,0.85648,0.90528,0.57239,1.22307,0.6313,1.06009,0.003169,0.003169,0.003169
71,3823.51,1.17663,0.63425,1.04475,0.97357,0.8557,0.90084,0.57228,1.21813,0.63498,1.06018,0.00307,0.00307,0.00307
72,3871.75,1.13306,0.62007,1.035,0.9637,0.86345,0.90202,0.5692,1.23605,0.65168,1.06906,0.002971,0.002971,0.002971
73,3929.75,1.12756,0.61122,1.01716,0.96714,0.85466,0.90382,0.57427,1.21048,0.63962,1.05159,0.002872,0.002872,0.002872
74,3989.24,1.13706,0.61477,1.02733,0.96127,0.8583,0.9058,0.57364,1.22756,0.6374,1.06184,0.002773,0.002773,0.002773
75,4048.39,1.12799,0.60938,1.01713,0.96867,0.85947,0.90506,0.57749,1.21843,0.63833,1.0575,0.002674,0.002674,0.002674
76,4105.19,1.11036,0.593,1.01586,0.96995,0.86224,0.90868,0.58256,1.2011,0.62583,1.05987,0.002575,0.002575,0.002575
77,4154.49,1.1161,0.59533,1.01819,0.97625,0.85929,0.90662,0.58063,1.21779,0.63981,1.0527,0.002476,0.002476,0.002476
78,4203.83,1.11768,0.61164,1.02132,0.97896,0.85366,0.90277,0.57676,1.20793,0.64168,1.05038,0.002377,0.002377,0.002377
