epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,270.238,3.34622,6.49549,4.18046,0.04442,0.02476,0.00836,0.00204,3.76123,4.73701,3.93531,0.0700909,0.00332323,0.00332323
2,481.174,3.086,4.07648,3.3325,0.63885,0.13279,0.14785,0.04231,2.7069,3.26011,2.27504,0.040047,0.00661263,0.00661263
3,681.356,2.51826,2.92241,2.31848,0.40232,0.40058,0.35923,0.13532,2.19351,2.64494,1.75815,0.00995904,0.00985803,0.00985803
4,887.177,2.03252,2.18688,1.77512,0.57947,0.51593,0.50971,0.26175,2.01709,2.03916,1.57145,0.009802,0.009802,0.009802
5,1105.54,1.75863,1.78436,1.5621,0.69948,0.58192,0.6315,0.38126,1.77287,1.8218,1.40129,0.009736,0.009736,0.009736
6,1310.9,1.59634,1.54189,1.42994,0.47063,0.25436,0.28007,0.1498,2.23532,2.96492,1.70628,0.00967,0.00967,0.00967
7,1497.8,1.4765,1.39115,1.35959,0.80851,0.70166,0.74922,0.49427,1.62125,1.46216,1.28536,0.009604,0.009604,0.009604
8,1702.04,1.42403,1.30886,1.31952,0.7338,0.63688,0.70469,0.43438,1.67955,1.5184,1.3253,0.009538,0.009538,0.009538
9,1898.88,1.36508,1.23773,1.28776,0.85928,0.78212,0.85613,0.59454,1.39967,1.13681,1.16632,0.009472,0.009472,0.009472
10,2097.81,1.33445,1.19239,1.2609,0.88998,0.78899,0.85487,0.59957,1.38157,1.14576,1.15503,0.009406,0.009406,0.009406
11,2385.17,1.27317,1.10693,1.22561,0.89409,0.77549,0.85266,0.58142,1.46313,1.16449,1.18947,0.00934,0.00934,0.00934
12,2592.1,1.27096,1.07886,1.22008,0.89594,0.7725,0.85433,0.60515,1.43986,1.11218,1.16429,0.009274,0.009274,0.009274
13,2784.48,1.21884,1.02982,1.20143,0.92094,0.81024,0.87717,0.61844,1.34279,1.0231,1.14471,0.009208,0.009208,0.009208
14,2989.63,1.2203,1.01145,1.19443,0.94367,0.82111,0.89395,0.64111,1.32399,0.95661,1.11554,0.009142,0.009142,0.009142
15,3182.08,1.18793,0.97152,1.17551,0.93574,0.85132,0.90887,0.67044,1.22588,0.9108,1.07308,0.009076,0.009076,0.009076
16,3376.06,1.17935,0.9767,1.18286,0.93716,0.85189,0.91724,0.6779,1.2263,0.87754,1.08073,0.00901,0.00901,0.00901
17,3569.89,1.1614,0.94392,1.17058,0.95582,0.84126,0.90632,0.678,1.2162,0.8903,1.07525,0.008944,0.008944,0.008944
18,3780.06,1.14925,0.91459,1.15805,0.93762,0.84495,0.91484,0.67798,1.23062,0.84916,1.08023,0.008878,0.008878,0.008878
19,3976.22,1.14284,0.91062,1.1492,0.90863,0.77442,0.84636,0.61212,1.41004,0.99299,1.14067,0.008812,0.008812,0.008812
20,4189.57,1.11316,0.87749,1.13627,0.86582,0.69183,0.78354,0.52505,1.3629,1.12033,1.17933,0.008746,0.008746,0.008746
21,4387.99,1.10056,0.84697,1.13491,0.95393,0.85879,0.9257,0.69805,1.17112,0.79923,1.05428,0.00868,0.00868,0.00868
22,4579.75,1.08512,0.83267,1.12156,0.93846,0.84847,0.90999,0.68442,1.21864,0.84222,1.07035,0.008614,0.008614,0.008614
23,4792.21,1.08952,0.84732,1.12854,0.93982,0.82402,0.90823,0.67071,1.22637,0.83664,1.08054,0.008548,0.008548,0.008548
24,4983.78,1.06416,0.82213,1.11006,0.95365,0.88613,0.93747,0.71706,1.1543,0.72816,1.04133,0.008482,0.008482,0.008482
25,5174.34,1.06319,0.81445,1.11164,0.95799,0.87887,0.93089,0.70013,1.18829,0.78009,1.05683,0.008416,0.008416,0.008416
26,5371.11,1.04726,0.79739,1.09957,0.95296,0.8898,0.94191,0.704,1.16644,0.73822,1.04949,0.00835,0.00835,0.00835
27,5587.97,1.05935,0.79147,1.10604,0.96487,0.88994,0.94755,0.71354,1.13903,0.72214,1.03797,0.008284,0.008284,0.008284
28,5778.5,1.04634,0.77401,1.10276,0.93757,0.90086,0.94521,0.7386,1.07822,0.70054,1.01673,0.008218,0.008218,0.008218
29,5976.08,1.03607,0.77199,1.09891,0.93403,0.90493,0.94611,0.73819,1.08687,0.6851,1.02239,0.008152,0.008152,0.008152
30,6170.47,1.02778,0.76667,1.097,0.96073,0.89963,0.95032,0.73251,1.10015,0.683,1.02563,0.008086,0.008086,0.008086
31,6370.56,1.0269,0.75616,1.09634,0.96128,0.88823,0.94465,0.71966,1.13807,0.70097,1.03052,0.00802,0.00802,0.00802
