epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.166,3.35378,6.28783,4.13371,0.04601,0.03289,0.01388,0.00308,3.65835,4.6962,3.81139,0.0701818,0.00331313,0.00331313
2,194.175,2.96892,3.64521,3.15022,0.37932,0.2957,0.24729,0.07672,2.57572,2.58348,2.29099,0.040138,0.0066026,0.0066026
3,288.16,2.46718,2.81135,2.25907,0.3749,0.12499,0.13144,0.05285,2.4482,3.31354,2.10119,0.0100501,0.00984806,0.00984806
4,394.699,2.02786,2.24061,1.75805,0.63702,0.50746,0.53162,0.2504,2.05594,2.2271,1.62267,0.009802,0.009802,0.009802
5,492.049,1.74462,1.83975,1.53285,0.68276,0.62147,0.64525,0.36918,1.80004,1.78511,1.41644,0.009736,0.009736,0.009736
6,591.861,1.61756,1.63844,1.43235,0.70929,0.61192,0.66652,0.40941,1.79824,1.69784,1.36906,0.00967,0.00967,0.00967
7,701.829,1.52907,1.48636,1.3596,0.85871,0.73173,0.81308,0.53641,1.50686,1.33374,1.21957,0.009604,0.009604,0.009604
8,800.312,1.4585,1.35901,1.31596,0.86748,0.72789,0.80475,0.52918,1.55473,1.37226,1.22894,0.009538,0.009538,0.009538
9,909.736,1.40346,1.29389,1.28999,0.87489,0.76987,0.84606,0.56702,1.46516,1.18626,1.21325,0.009472,0.009472,0.009472
10,1014.1,1.34932,1.21943,1.25276,0.78584,0.69095,0.74675,0.47346,1.63997,1.48731,1.27753,0.009406,0.009406,0.009406
11,1117.62,1.33262,1.1709,1.24332,0.86348,0.79067,0.84901,0.58263,1.44932,1.12015,1.18301,0.00934,0.00934,0.00934
12,1232.59,1.30401,1.11475,1.22909,0.90356,0.79601,0.87585,0.6207,1.32219,1.04498,1.124,0.009274,0.009274,0.009274
13,1396.33,1.26038,1.07998,1.20679,0.91304,0.77862,0.8529,0.59801,1.35979,1.11415,1.13891,0.009208,0.009208,0.009208
14,1489.62,1.24982,1.03439,1.1955,0.90457,0.84265,0.89464,0.64761,1.30267,0.9781,1.11252,0.009142,0.009142,0.009142
15,1592.71,1.23232,1.01709,1.18133,0.92289,0.83407,0.89907,0.63848,1.35075,0.94874,1.113,0.009076,0.009076,0.009076
16,1697.08,1.2159,0.99205,1.17212,0.93649,0.84818,0.91538,0.67312,1.24407,0.88346,1.07223,0.00901,0.00901,0.00901
