epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.794,3.58184,9.71893,4.09585,0.00916,0.09844,0.01357,0.00322,4.22766,4.31524,2.95039,0.0700462,0.00332821,0.00332821
2,408.179,2.94447,3.71578,2.54724,0.48008,0.3051,0.25694,0.08587,2.65346,2.62092,1.80533,0.0400198,0.00663516,0.00663516
3,600.328,2.55473,2.95387,1.99446,0.22655,0.10874,0.06986,0.02607,2.74963,3.46079,1.7386,0.00996699,0.00991571,0.00991571
4,792.05,2.34228,2.43217,1.80713,0.42809,0.36246,0.29404,0.11893,2.27192,2.37098,1.49923,0.0098812,0.0098812,0.0098812
5,984.137,2.20145,2.11016,1.62629,0.25658,0.10492,0.08794,0.03893,2.56198,3.6149,1.6169,0.0098416,0.0098416,0.0098416
6,1175.53,2.06415,1.90344,1.51264,0.72338,0.47959,0.54146,0.24649,2.05578,1.85514,1.34905,0.009802,0.009802,0.009802
7,1367.41,1.93854,1.70246,1.41347,0.78307,0.56391,0.63141,0.30367,1.88909,1.61836,1.27469,0.0097624,0.0097624,0.0097624
8,1559.29,1.85358,1.62003,1.3608,0.79883,0.61961,0.67638,0.32751,1.86214,1.53435,1.24187,0.0097228,0.0097228,0.0097228
9,1751.51,1.81941,1.54627,1.31911,0.88277,0.61197,0.70855,0.37829,1.74269,1.40743,1.18543,0.0096832,0.0096832,0.0096832
10,1943.61,1.76498,1.45922,1.29931,0.83819,0.628,0.71129,0.37322,1.73696,1.43723,1.19231,0.0096436,0.0096436,0.0096436
11,2134.85,1.7284,1.42471,1.27154,0.87556,0.65242,0.72732,0.3724,1.74729,1.38306,1.17314,0.009604,0.009604,0.009604
12,2326.28,1.68856,1.36543,1.25256,0.85897,0.64371,0.72584,0.37031,1.74495,1.36633,1.17893,0.0095644,0.0095644,0.0095644
13,2517.57,1.6582,1.32582,1.23575,0.92106,0.66775,0.77382,0.43683,1.57599,1.20075,1.11923,0.0095248,0.0095248,0.0095248
14,2709.07,1.61987,1.2718,1.22036,0.91358,0.70986,0.7894,0.45007,1.55927,1.21139,1.10303,0.0094852,0.0094852,0.0094852
15,2901.53,1.60337,1.2583,1.21504,0.89721,0.70269,0.78219,0.43454,1.59357,1.23035,1.12703,0.0094456,0.0094456,0.0094456
16,3092.85,1.58835,1.24365,1.21162,0.92385,0.7313,0.81672,0.47825,1.48494,1.07667,1.08526,0.009406,0.009406,0.009406
17,3285.47,1.55927,1.19384,1.18826,0.90266,0.66867,0.76333,0.4199,1.65534,1.19906,1.13088,0.0093664,0.0093664,0.0093664
18,3477.23,1.55272,1.17923,1.19093,0.93352,0.73979,0.81949,0.4852,1.46584,1.05501,1.07301,0.0093268,0.0093268,0.0093268
19,3668.71,1.51545,1.13221,1.1797,0.9165,0.72868,0.81133,0.46378,1.50179,1.05521,1.08932,0.0092872,0.0092872,0.0092872
20,3860.58,1.50714,1.12829,1.16582,0.89695,0.7107,0.78901,0.4607,1.52421,1.11038,1.09056,0.0092476,0.0092476,0.0092476
21,4052.08,1.47715,1.08066,1.15213,0.9052,0.73407,0.81062,0.48117,1.47769,1.0638,1.07572,0.009208,0.009208,0.009208
22,4243.44,1.48942,1.08897,1.15754,0.92899,0.75124,0.83007,0.48943,1.49071,1.02869,1.06194,0.0091684,0.0091684,0.0091684
23,4435.87,1.47114,1.07411,1.14596,0.92364,0.7522,0.82548,0.48463,1.47596,1.02854,1.06597,0.0091288,0.0091288,0.0091288
24,4627.44,1.45633,1.07382,1.13818,0.93498,0.76459,0.84198,0.50388,1.40365,0.97968,1.04647,0.0090892,0.0090892,0.0090892
25,4819.43,1.44043,1.04611,1.13227,0.94503,0.76094,0.83581,0.49145,1.46132,0.98973,1.05468,0.0090496,0.0090496,0.0090496
26,5010.93,1.44718,1.02482,1.13617,0.92208,0.7501,0.82883,0.49634,1.45509,0.99429,1.05769,0.00901,0.00901,0.00901
27,5202.26,1.42441,0.99776,1.12313,0.92865,0.77566,0.85079,0.52114,1.39168,0.9196,1.04227,0.0089704,0.0089704,0.0089704
28,5394.31,1.42389,1.00485,1.11668,0.93791,0.77337,0.83918,0.50425,1.47124,0.95817,1.05406,0.0089308,0.0089308,0.0089308
29,5585.89,1.41246,0.97557,1.12265,0.93858,0.77546,0.85027,0.52238,1.40856,0.92285,1.04241,0.0088912,0.0088912,0.0088912
30,5778.19,1.3939,0.97665,1.10994,0.94042,0.78893,0.85999,0.53518,1.36384,0.88849,1.03539,0.0088516,0.0088516,0.0088516
31,5970,1.38829,0.96267,1.10286,0.94037,0.78215,0.86024,0.53217,1.37347,0.87531,1.03409,0.008812,0.008812,0.008812
32,6161.11,1.38311,0.97508,1.10763,0.93818,0.79969,0.86909,0.53661,1.35305,0.86438,1.02132,0.0087724,0.0087724,0.0087724
33,6350.27,1.37889,0.95286,1.10492,0.93967,0.80821,0.8807,0.54028,1.36533,0.84803,1.03385,0.0087328,0.0087328,0.0087328
34,6540.32,1.37444,0.94208,1.09536,0.93643,0.77146,0.84923,0.51819,1.38738,0.90374,1.03837,0.0086932,0.0086932,0.0086932
35,6733,1.35193,0.91901,1.09501,0.94622,0.80198,0.87824,0.5489,1.35276,0.83902,1.02856,0.0086536,0.0086536,0.0086536
36,6926.11,1.36471,0.92367,1.09399,0.93764,0.81466,0.87911,0.53759,1.35366,0.84421,1.02636,0.008614,0.008614,0.008614
37,7117.96,1.35495,0.91586,1.0958,0.942,0.80275,0.87846,0.54637,1.34254,0.83505,1.0175,0.0085744,0.0085744,0.0085744
38,7309.69,1.36702,0.91355,1.09499,0.94698,0.81097,0.88847,0.5376,1.34985,0.82408,1.01671,0.0085348,0.0085348,0.0085348
39,7501.49,1.32694,0.8982,1.08273,0.96182,0.79931,0.88726,0.56752,1.2984,0.79724,1.01019,0.0084952,0.0084952,0.0084952
40,7694.13,1.34134,0.89478,1.08431,0.94465,0.81229,0.877,0.54434,1.35224,0.82982,1.02366,0.0084556,0.0084556,0.0084556
41,7886.4,1.32666,0.87352,1.0851,0.95261,0.81877,0.88613,0.55467,1.30874,0.80179,1.00596,0.008416,0.008416,0.008416
42,8078.76,1.32658,0.87332,1.07594,0.95568,0.82831,0.8955,0.56398,1.29831,0.78128,1.00599,0.0083764,0.0083764,0.0083764
43,8271.35,1.31796,0.86757,1.06906,0.93942,0.82835,0.89228,0.57076,1.29024,0.77676,1.00253,0.0083368,0.0083368,0.0083368
44,8464.21,1.33435,0.87102,1.0696,0.95829,0.82398,0.8987,0.56155,1.32256,0.78909,1.00693,0.0082972,0.0082972,0.0082972
45,8657.06,1.32969,0.86683,1.05959,0.95542,0.83823,0.90006,0.5691,1.31039,0.77669,0.99844,0.0082576,0.0082576,0.0082576
46,8850.03,1.32073,0.85986,1.05918,0.9484,0.83365,0.90027,0.5748,1.29555,0.78119,0.99615,0.008218,0.008218,0.008218
47,9043.05,1.30065,0.84963,1.05562,0.96194,0.82928,0.90064,0.57275,1.29414,0.7739,0.99169,0.0081784,0.0081784,0.0081784
48,9235.51,1.29969,0.84295,1.05031,0.94682,0.8306,0.89563,0.56622,1.31018,0.78352,0.99074,0.0081388,0.0081388,0.0081388
49,9428.11,1.3162,0.8622,1.05063,0.94755,0.83594,0.90558,0.57301,1.29838,0.7607,0.99359,0.0080992,0.0080992,0.0080992
50,9620.43,1.30845,0.84604,1.05464,0.9417,0.84426,0.90263,0.5719,1.2974,0.76323,0.98855,0.0080596,0.0080596,0.0080596
51,9812.74,1.29898,0.83276,1.04481,0.9568,0.83174,0.90244,0.56938,1.30154,0.76667,0.98888,0.00802,0.00802,0.00802
52,10004.6,1.28406,0.83173,1.04621,0.96481,0.84733,0.90861,0.58038,1.27638,0.73955,0.9844,0.0079804,0.0079804,0.0079804
53,10197.3,1.27414,0.82538,1.03161,0.94889,0.85006,0.90859,0.58393,1.28087,0.73433,0.98282,0.0079408,0.0079408,0.0079408
54,10390.2,1.26866,0.80366,1.03853,0.95149,0.85044,0.91319,0.58773,1.25683,0.73298,0.97843,0.0079012,0.0079012,0.0079012
55,10583.3,1.28668,0.81978,1.04273,0.95281,0.83974,0.90665,0.58094,1.28706,0.74001,0.98282,0.0078616,0.0078616,0.0078616
56,10775.1,1.27417,0.80685,1.02981,0.94162,0.84921,0.90754,0.58324,1.26615,0.73585,0.97567,0.007822,0.007822,0.007822
57,10967.8,1.27128,0.80375,1.03042,0.94094,0.85769,0.91091,0.58349,1.26786,0.72951,0.98013,0.0077824,0.0077824,0.0077824
58,11160,1.26367,0.79255,1.02653,0.95575,0.84877,0.91247,0.58261,1.28558,0.72511,0.98447,0.0077428,0.0077428,0.0077428
59,11352.4,1.263,0.79694,1.03662,0.93723,0.87333,0.91591,0.58661,1.27137,0.72676,0.9814,0.0077032,0.0077032,0.0077032
60,11544.6,1.26139,0.79407,1.02982,0.9449,0.86112,0.91082,0.56953,1.33028,0.73346,0.99446,0.0076636,0.0076636,0.0076636
61,11736.8,1.24732,0.78933,1.0205,0.9661,0.85907,0.92404,0.59547,1.25652,0.71077,0.97121,0.007624,0.007624,0.007624
62,11929.5,1.24457,0.77875,1.02543,0.96124,0.86227,0.91979,0.59428,1.26393,0.69738,0.97828,0.0075844,0.0075844,0.0075844
63,12121.7,1.25053,0.78512,1.02723,0.94908,0.85883,0.91465,0.58863,1.25218,0.70578,0.97452,0.0075448,0.0075448,0.0075448
64,12314.6,1.24619,0.77358,1.02435,0.95165,0.86366,0.91894,0.59524,1.2534,0.69712,0.97164,0.0075052,0.0075052,0.0075052
65,12506.8,1.25037,0.76664,1.01777,0.9534,0.85464,0.9151,0.59189,1.26574,0.70449,0.9772,0.0074656,0.0074656,0.0074656
66,12697.1,1.22384,0.75653,1.01131,0.95018,0.86227,0.92077,0.59742,1.2439,0.68941,0.97061,0.007426,0.007426,0.007426
67,12889.4,1.24214,0.76139,1.01673,0.96615,0.86035,0.92362,0.59868,1.24333,0.68099,0.97432,0.0073864,0.0073864,0.0073864
68,13082.6,1.22067,0.74881,1.01383,0.95185,0.87499,0.92672,0.6046,1.23074,0.6732,0.96384,0.0073468,0.0073468,0.0073468
69,13274.5,1.21682,0.75485,1.01212,0.95464,0.86188,0.92604,0.60722,1.21837,0.66531,0.96744,0.0073072,0.0073072,0.0073072
70,13467.1,1.22052,0.74871,1.01638,0.94907,0.86732,0.92179,0.60685,1.2221,0.67229,0.96494,0.0072676,0.0072676,0.0072676
71,13658.5,1.21456,0.74642,1.01495,0.95315,0.87723,0.92578,0.60987,1.20638,0.65898,0.96326,0.007228,0.007228,0.007228
72,13851.3,1.21155,0.73304,1.00643,0.96397,0.87775,0.92849,0.61251,1.19906,0.65141,0.9603,0.0071884,0.0071884,0.0071884
73,14045,1.21964,0.73901,1.01106,0.9599,0.87219,0.92877,0.60369,1.23182,0.66196,0.96642,0.0071488,0.0071488,0.0071488
74,14241.9,1.20584,0.73577,1.00893,0.95907,0.8762,0.92892,0.6091,1.20856,0.66337,0.96308,0.0071092,0.0071092,0.0071092
75,14435.6,1.19913,0.73491,0.99729,0.95787,0.86752,0.92356,0.60035,1.21825,0.66298,0.96412,0.0070696,0.0070696,0.0070696
76,14627.9,1.21473,0.74277,1.00199,0.95784,0.87715,0.92762,0.61053,1.19829,0.64732,0.96059,0.00703,0.00703,0.00703
77,14820.5,1.20377,0.73472,1.0011,0.96105,0.87715,0.9275,0.60644,1.21443,0.6538,0.96365,0.0069904,0.0069904,0.0069904
78,15012.2,1.20444,0.73458,0.99639,0.96543,0.87448,0.93003,0.61294,1.20211,0.65135,0.9568,0.0069508,0.0069508,0.0069508
79,15205.5,1.19557,0.71555,0.99996,0.96174,0.88231,0.9322,0.61016,1.20095,0.64289,0.95742,0.0069112,0.0069112,0.0069112
80,15397.8,1.19339,0.72021,0.99865,0.95304,0.88276,0.93074,0.61303,1.1944,0.64714,0.95729,0.0068716,0.0068716,0.0068716
81,15590.8,1.18652,0.7166,1.00074,0.96289,0.88115,0.93304,0.61804,1.19259,0.64388,0.95704,0.006832,0.006832,0.006832
